Dataset;Linkage;Info;Sptype
SC6_Basics_D_.dta;"""ID_t""";;
SC6_Biography_D_.dta;;nicht mergebar da schon im personenjahresdatensatz;
SC6_Children_D_.dta;;Nicht mergebar - separat anbieten;
SC6_CohortProfile_D_.dta;"""ID_t"" ""wave""";;
SC6_EditionBackups_D_.dta;;Nicht mergebar - nicht anbieten;
SC6_Education_D_.dta;;Nicht mergebar - separat anbieten;
SC6_FurtherEducation_D_.dta;;Nicht mergebar - separat anbieten;
SC6_MaritalStates_D_.dta;;Nicht mergebar - separat anbieten;
SC6_Methods_D_.dta;"""ID_t"" ""wave""";;
SC6_MethodsCompetencies_D_.dta;"""ID_t"" ""wave""";;
SC6_pTarget_D_.dta;"""ID_t"" ""wave""";;
SC6_spChild_D_.dta;;Nicht mergebar - separat anbieten;
SC6_spChildCohab_D_.dta;;Nicht mergebar - separat anbieten;
SC6_spCourses_D_.dta;;Nicht mergebar - separat anbieten;
SC6_spEmp_D_.dta;"""ID_t"" ""wave"" ""splink""";;26
SC6_spFurtherEdu1_D_.dta;;Nicht mergebar - separat anbieten;
SC6_spFurtherEdu2_D_.dta;;Nicht mergebar - separat anbieten;
SC6_spFurtherEdu3_D_.dta;;Nicht mergebar - separat anbieten;
SC6_spGap_D_.dta;"""ID_t"" ""wave"" ""splink""";;30
SC6_spMilitary_D_.dta;"""ID_t"" ""wave"" ""splink""";;25
SC6_spParLeave_D_.dta;"""ID_t"" ""wave"" ""splink""";;29
SC6_spPartner_D_.dta;;Nicht mergebar - separat anbieten;
SC6_spPartnerCohab_D_.dta;;Nicht mergebar - separat anbieten;
SC6_spResidence_D_.dta;;Nicht mergebar - separat anbieten;
SC6_spSchool_D_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC6_spSchoolExtExam_D_.dta;"""ID_t"" ""wave""";;
SC6_spUnemp_D_.dta;"""ID_t"" ""wave"" ""splink""";;27
SC6_spVocBreaks_D_.dta;"""ID_t"" ""splink""";;
SC6_spVocExtExam_D_.dta;"""ID_t"" ""wave""";;
SC6_spVocPrep_D_.dta;"""ID_t"" ""wave"" ""splink""";;23
SC6_spVocTrain_D_.dta;"""ID_t"" ""wave"" ""splink""";;24
SC6_spVolunteerWork_D_.dta;;Nicht mergebar - separat anbieten;
