Dataset;Linkage;Info;Sptype
SC6_Basics_S_.dta;"""ID_t""";;
SC6_Biography_S_.dta;;nicht mergebar da schon im personenjahresdatensatz;
SC6_Children_S_.dta;;Nicht mergebar - separat anbieten;
SC6_CohortProfile_S_.dta;"""ID_t"" ""wave""";;
SC6_EditionBackups_S_.dta;;Nicht mergebar - nicht anbieten;
SC6_Education_S_.dta;;Nicht mergebar - separat anbieten;
SC6_FurtherEducation_S_.dta;;Nicht mergebar - separat anbieten;
SC6_MaritalStates_S_.dta;;Nicht mergebar - separat anbieten;
SC6_Methods_S_.dta;"""ID_t"" ""wave""";;
SC6_MethodsCompetencies_S_.dta;"""ID_t"" ""wave""";;
SC6_pTarget_S_.dta;"""ID_t"" ""wave""";;
SC6_spChild_S_.dta;;Nicht mergebar - separat anbieten;
SC6_spChildCohab_S_.dta;;Nicht mergebar - separat anbieten;
SC6_spCourses_S_.dta;;Nicht mergebar - separat anbieten;
SC6_spEmp_S_.dta;"""ID_t"" ""wave"" ""splink""";;26
SC6_spFurtherEdu1_S_.dta;;Nicht mergebar - separat anbieten;
SC6_spFurtherEdu2_S_.dta;;Nicht mergebar - separat anbieten;
SC6_spFurtherEdu3_S_.dta;;Nicht mergebar - separat anbieten;
SC6_spGap_S_.dta;"""ID_t"" ""wave"" ""splink""";;30
SC6_spMilitary_S_.dta;"""ID_t"" ""wave"" ""splink""";;25
SC6_spParLeave_S_.dta;"""ID_t"" ""wave"" ""splink""";;29
SC6_spPartner_S_.dta;;Nicht mergebar - separat anbieten;
SC6_spPartnerCohab_S_.dta;;Nicht mergebar - separat anbieten;
SC6_spResidence_S_.dta;;Nicht mergebar - separat anbieten;
SC6_spSchool_S_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC6_spSchoolExtExam_S_.dta;"""ID_t"" ""wave""";;
SC6_spUnemp_S_.dta;"""ID_t"" ""wave"" ""splink""";;27
SC6_spVocBreaks_S_.dta;"""ID_t"" ""splink""";;
SC6_spVocExtExam_S_.dta;"""ID_t"" ""wave""";;
SC6_spVocPrep_S_.dta;"""ID_t"" ""wave"" ""splink""";;23
SC6_spVocTrain_S_.dta;"""ID_t"" ""wave"" ""splink""";;24
SC6_spVolunteerWork_S_.dta;;Nicht mergebar - separat anbieten;
SC6_Weights_S_.dta;"""ID_t""";;
SC6_xPlausibleValues_S_.dta;;Nicht mergebar - Hinweis auf NEPS Literatur dazu und das R Paket;
SC6_xTargetCompetencies_S_.dta;"""ID_t""";;
SC6_xTargetCORONA_S_.dta;"""ID_t""";;
;;;
SC5_Basics_S_.dta;"""ID_t""";;
SC5_Biography_S_.dta;;nicht mergebar da schon im personenjahresdatensatz;
SC5_CohortProfile_S_.dta;"""ID_t"" ""wave""";;
SC5_EditionBackups_S_.dta;;Nicht mergebar - nicht anbieten;
SC5_Education_S_.dta;;Nicht mergebar - separat anbieten;
SC5_MethodsCATI_S_.dta;"""ID_t"" ""wave""";;
SC5_MethodsCAWI_S_.dta;"""ID_t"" ""wave""";;
SC5_MethodsCompetencies_S_.dta;"""ID_t"" ""wave""";;
SC5_pTargetCATI_S_.dta;"""ID_t"" ""wave""";;
SC5_pTargetCAWI_S_.dta;"""ID_t"" ""wave""";;
SC5_spChild_S_.dta;;Nicht mergebar - separat anbieten;
SC5_spChildCohab_S_.dta;;Nicht mergebar - separat anbieten;
SC5_spCourses_S_.dta;;Nicht mergebar - separat anbieten;
SC5_spEmp_S_.dta;"""ID_t"" ""wave"" ""splink""";;26
SC5_spFurtherEdu1_S_.dta;;Nicht mergebar - separat anbieten;
SC5_spFurtherEdu2_S_.dta;;Nicht mergebar - separat anbieten;
SC5_spGap_S_.dta;"""ID_t"" ""wave"" ""splink""";;30
SC5_spInternship_S_.dta;"""ID_t"" ""wave"" ""splink""";;36
SC5_spMilitary_S_.dta;"""ID_t"" ""wave"" ""splink""";;25
SC5_spParLeave_S_.dta;"""ID_t"" ""wave"" ""splink""";;29
SC5_spPartner_S_.dta;;Nicht mergebar - separat anbieten;
SC5_spSchool_S_.dta;"""ID_t"" ""wave"" ""splink""";;22
SC5_spSchoolExtExam_S_.dta;"""ID_t"" ""wave""";;
SC5_spSibling_S_.dta;;Nicht mergebar - separat anbieten;
SC5_spUnemp_S_.dta;"""ID_t"" ""wave"" ""splink""";;27
SC5_spVocBreaks_S_.dta;"""ID_t"" ""wave""";;
SC5_spVocExtExam_S_.dta;"""ID_t"" ""wave""";;
SC5_spVocPrep_S_.dta;"""ID_t"" ""wave"" ""splink""";;23
SC5_spVocTrain_S_.dta;"""ID_t"" ""wave"" ""splink""";;24
SC5_StudyStates_S_.dta;"""ID_t"" ""wave""";;
SC5_Weights_S_.dta;"""ID_t""";;
